"network_name","networkDomain"
"7th_graders","Social"
"academia_edu","Social"
"add_health","Social"
"advogato","Social"
"ambassador","Social"
"anybeat","Social"
"arxiv_authors","Social"
"arxiv_collab","Social"
"baseball","Social"
"bison","Social"
"bitcoin_alpha","Social"
"bitcoin_trust","Social"
"board_directors","Social"
"cattle","Social"
"ceo_club","Social"
"chess","Social"
"college_freshmen","Social"
"contact","Social"
"copenhagen","Social"
"crime","Social"
"cs_department","Social"
"dblp_coauthor","Social"
"dblp_coauthor_snap","Social"
"dblp_simplices","Social"
"dbpedia_country","Social"
"dbpedia_occupation","Social"
"digg_reply","Social"
"dnc","Social"
"dolphins","Social"
"douban","Social"
"dutch_criticism","Social"
"dutch_school","Social"
"ego_social","Social"
"elec","Social"
"elite","Social"
"email_company","Social"
"email_enron","Social"
"email_eu","Social"
"epinions_trust","Social"
"escorts","Social"
"facebook_friends","Social"
"facebook_organizations","Social"
"facebook_wall","Social"
"flickr_aminer","Social"
"flickr_groups","Social"
"flickr_growth","Social"
"flixster","Social"
"florentine_families","Social"
"football","Social"
"football_tsevans","Social"
"foursquare","Social"
"foursquare_friendships","Social"
"foursquare_global","Social"
"freshmen","Social"
"game_thrones","Social"
"google_plus","Social"
"hens","Social"
"high_tech_company","Social"
"highschool","Social"
"hiv_transmission","Social"
"hyves","Social"
"inploid","Social"
"jazz_collab","Social"
"kangaroo","Social"
"karate","Social"
"kidnappings","Social"
"lastfm","Social"
"lastfm_aminer","Social"
"law_firm","Social"
"lesmis","Social"
"libimseti","Social"
"livejournal","Social"
"livejournal_aminer","Social"
"livemocha","Social"
"lkml_reply","Social"
"lkml_thread","Social"
"macaques","Social"
"mag_geology_coauthor","Social"
"mag_history_coauthor","Social"
"marker_cafe","Social"
"marvel_partnerships","Social"
"marvel_universe","Social"
"mislove_osn","Social"
"montreal","Social"
"moreno_sheep","Social"
"moreno_taro","Social"
"moviegalaxies","Social"
"myspace_aminer","Social"
"netscience","Social"
"new_guinea_tribes","Social"
"new_zealand_collab","Social"
"november17","Social"
"petster","Social"
"pgp_strong","Social"
"physician_trust","Social"
"physics_collab","Social"
"pokec","Social"
"prosper","Social"
"qa_user","Social"
"reality_mining","Social"
"residence_hall","Social"
"revolution","Social"
"rhesus_monkey","Social"
"sa_companies","Social"
"slashdot_threads","Social"
"slashdot_zoo","Social"
"soc_net_comms","Social"
"social_location","Social"
"sp_high_school","Social"
"sp_high_school_new","Social"
"sp_hospital","Social"
"sp_hypertext","Social"
"sp_infectious","Social"
"sp_kenyan_households","Social"
"sp_office","Social"
"sp_primary_school","Social"
"student_cooperation","Social"
"swingers","Social"
"terrorists_911","Social"
"train_terrorists","Social"
"twitter","Social"
"twitter_15m","Social"
"twitter_2009","Social"
"twitter_events","Social"
"twitter_higgs","Social"
"twitter_sample","Social"
"twitter_social","Social"
"ugandan_village","Social"
"uni_email","Social"
"us_agencies","Social"
"us_congress","Social"
"wiki_rfa","Social"
"wiki_talk","Social"
"wiki_users","Social"
"wikiconflict","Social"
"wikipedia-en-talk","Social"
"wikitree","Social"
"windsurfers","Social"
"zebras","Social"
