"Node1","Node2"
1,45
1,46
1,47
1,48
1,49
1,51
1,52
1,53
1,54
1,55
1,56
1,57
1,58
1,63
1,64
1,66
1,67
1,68
1,69
1,70
1,71
1,72
1,73
1,74
1,75
1,76
1,78
1,81
1,83
1,84
1,85
2,83
3,46
3,47
3,48
3,50
3,53
3,54
3,55
3,56
3,58
3,59
3,60
3,61
3,62
3,65
3,67
3,68
3,70
3,71
3,72
3,74
3,75
3,78
3,82
3,83
4,45
4,46
4,66
4,80
5,83
6,46
6,48
6,50
6,53
6,55
6,61
6,65
6,67
6,69
6,75
6,83
7,55
7,61
7,83
8,55
8,83
9,83
10,71
10,72
11,47
11,53
11,54
11,55
11,59
11,61
11,67
11,69
11,70
11,71
11,72
11,74
11,76
11,83
11,84
12,56
12,68
12,69
12,76
12,82
12,84
13,48
13,50
13,54
13,55
13,58
13,61
13,67
13,69
13,75
13,76
13,82
13,83
14,71
15,75
16,83
17,60
18,53
19,48
19,61
20,46
20,65
20,69
20,83
21,67
21,71
21,72
21,83
22,47
22,55
22,71
22,72
22,83
22,84
23,71
24,48
24,55
24,61
24,83
25,69
26,48
27,48
28,58
29,74
30,50
30,56
30,61
30,83
31,58
32,48
32,49
32,52
32,57
33,46
33,48
33,49
33,52
33,55
33,61
33,67
33,70
33,71
33,72
33,84
35,48
35,75
36,83
37,48
38,69
39,48
39,55
39,71
39,72
39,83
40,46
40,47
40,48
40,49
40,50
40,52
40,53
40,54
40,56
40,59
40,60
40,61
40,62
40,65
40,67
40,68
40,69
40,70
40,73
40,74
40,75
40,76
40,77
40,78
40,79
40,81
40,82
41,46
41,55
41,83
42,83
43,49
43,52
44,53
44,55
44,68
45,85
46,85
50,45
50,63
50,80
50,85
53,45
54,80
55,45
55,51
55,64
55,80
55,85
64,85
68,45
68,77
70,45
