"Node1","Node2"
1,45
1,46
1,49
1,50
1,51
1,53
1,54
1,55
1,57
1,58
1,59
1,61
1,62
1,63
1,64
1,65
1,66
1,69
1,70
1,71
1,72
1,74
1,76
1,77
1,81
1,82
1,86
2,45
2,46
2,61
2,70
2,71
2,72
2,77
2,82
2,86
3,45
3,47
3,67
3,68
3,73
3,78
3,80
3,83
3,84
4,46
4,71
4,72
5,45
5,46
5,49
5,50
5,51
5,61
5,63
5,65
5,69
5,70
5,71
5,72
5,74
5,76
5,77
5,82
6,45
6,46
6,51
6,57
6,61
6,63
6,69
6,70
6,71
6,72
6,74
6,76
6,77
6,81
6,82
7,45
8,45
8,63
9,45
9,53
10,45
10,46
10,49
10,50
10,51
10,53
10,57
10,59
10,61
10,62
10,63
10,64
10,65
10,70
10,71
10,74
10,76
10,81
10,82
11,45
11,46
11,50
11,51
11,53
11,57
11,58
11,61
11,63
11,64
11,65
11,66
11,69
11,70
11,71
11,72
11,74
11,77
11,81
11,82
12,45
12,46
12,49
12,50
12,51
12,53
12,57
12,59
12,64
12,65
12,69
12,70
12,71
12,76
12,77
12,81
12,82
13,45
13,46
13,51
13,70
13,72
13,74
14,45
14,46
14,51
14,53
14,61
14,64
14,71
14,77
14,81
15,45
15,46
15,50
15,51
15,53
15,57
15,59
15,61
15,63
15,70
15,71
15,74
15,76
15,77
15,81
15,82
16,51
16,61
16,65
16,76
16,82
17,45
17,46
17,51
17,54
17,63
17,70
17,71
17,74
17,77
17,81
18,45
18,46
18,51
18,70
18,71
18,82
19,45
19,46
19,49
19,59
19,61
19,64
19,69
19,70
19,71
19,72
19,74
19,77
19,82
20,45
20,46
20,49
20,51
20,63
20,69
20,70
20,72
20,77
21,57
21,61
21,70
21,74
21,76
22,45
22,46
22,49
22,51
22,53
22,57
22,61
22,63
22,64
22,65
22,66
22,70
22,71
22,72
22,74
22,76
22,77
23,46
24,45
24,46
24,49
24,50
24,51
24,53
24,54
24,55
24,57
24,58
24,59
24,63
24,64
24,65
24,70
24,71
24,72
24,74
24,76
24,77
24,82
25,45
25,50
25,70
25,72
25,82
26,46
26,49
26,51
26,53
26,64
26,65
26,69
26,70
26,71
26,77
27,45
27,46
27,70
27,71
27,77
28,46
28,72
29,45
29,46
29,50
29,53
29,61
29,64
29,70
29,71
29,72
29,77
30,64
30,72
30,82
31,46
31,49
31,51
31,53
31,57
31,71
32,46
32,51
32,53
32,57
32,61
32,64
32,69
32,70
32,71
32,72
32,76
32,77
33,46
33,63
33,65
33,70
34,45
34,70
35,51
35,70
36,46
36,50
36,51
36,53
36,57
36,59
36,61
36,62
36,63
36,65
36,66
36,70
36,71
36,77
37,46
37,72
38,55
39,46
39,70
40,49
40,51
40,64
41,46
41,70
42,46
42,49
42,51
42,61
42,63
42,64
42,65
42,71
42,72
42,76
42,77
43,45
43,71
43,72
44,51
44,70
46,67
52,80
53,85
57,47
57,67
57,83
57,85
57,86
60,83
60,84
60,86
61,47
61,78
61,83
61,84
61,85
61,86
63,83
63,84
63,85
64,83
67,78
67,83
67,84
68,83
68,84
68,85
69,78
69,83
69,84
69,85
70,86
71,83
71,84
72,86
73,83
73,84
73,85
74,83
74,86
75,83
75,84
76,83
76,84
76,85
76,86
77,83
77,84
78,52
78,78
78,83
78,84
78,85
81,83
82,78
82,83
