"Node1","Node2"
1,29
1,30
1,31
1,32
1,33
1,34
1,35
1,36
1,37
1,38
1,39
1,40
1,41
1,42
1,43
1,44
1,45
1,46
1,47
1,48
1,49
1,50
1,51
1,52
1,53
1,54
1,55
1,56
1,57
1,58
1,59
1,60
1,62
1,63
1,64
1,66
1,67
1,68
1,69
1,70
2,29
2,30
2,31
2,32
2,34
2,36
2,38
2,39
2,41
2,42
2,45
2,47
2,49
2,50
2,52
2,53
2,54
2,55
2,56
2,57
2,58
2,62
2,63
2,64
2,66
2,68
2,70
3,61
4,40
4,41
4,50
4,62
5,35
5,42
6,35
6,62
7,35
7,38
7,66
8,35
8,36
8,42
8,57
8,58
8,59
8,62
9,62
10,35
11,50
12,29
12,35
13,62
14,29
14,30
15,47
16,62
17,35
18,35
18,45
18,62
18,66
19,35
19,38
19,50
19,62
20,62
21,30
21,62
22,29
22,35
22,38
22,54
22,66
23,29
23,30
23,35
23,42
23,58
24,62
25,35
25,62
26,35
26,42
27,29
27,30
27,40
28,47
29,29
29,30
29,35
29,59
35,61
35,65
35,71
41,61
51,71
52,32
52,51
52,65
53,32
53,34
53,48
53,51
53,61
53,65
54,32
54,47
55,48
55,61
55,65
56,48
56,61
56,65
60,46
60,48
