"Node1","Node2"
1,17159
1,1454
1,31938
1,41904
2,38316
3,757
4,38449
4,7283
5,18273
5,17177
5,16707
6,38297
7,11782
8,7063
8,21724
10,5506
11,391
12,32936
13,9468
14,41874
15,7028
15,15419
16,28283
17,14471
18,33329
19,33741
21,8167
22,18051
23,39693
24,3040
25,25790
26,2346
27,11606
28,22594
28,35475
29,3065
30,14908
31,33371
32,24911
33,28739
34,27723
34,41372
35,21807
36,41008
37,18733
38,24482
40,29210
41,26956
41,28539
43,37090
43,42435
44,6080
44,32724
44,18881
45,20064
46,18381
47,7670
48,20039
49,21571
50,27449
50,41314
52,20593
53,8523
55,16817
57,23918
58,18037
59,32146
59,38905
60,27794
61,37962
62,14723
62,30639
63,1026
64,20314
65,40403
66,18110
67,37430
68,24761
69,1163
70,14355
71,7452
72,16966
73,33082
74,19908
75,1941
76,17079
77,6865
78,21020
79,21348
79,17845
79,6960
80,8677
81,35216
82,3318
83,36461
84,1182
86,24529
86,25555
86,29593
86,32518
87,41393
88,14950
89,34192
90,7336
91,15356
92,7731
93,15065
94,2850
94,37469
95,20025
96,29648
97,37794
97,6433
98,24087
98,18423
98,42008
99,9519
101,31993
102,15875
103,22277
103,3596
104,10634
105,1761
106,19471
107,41780
108,23534
109,35879
110,16976
111,30040
112,7190
112,457
112,2186
113,35866
114,14254
114,12300
115,17520
116,12539
117,26452
118,31693
119,1827
120,39859
120,25398
121,18431
122,15735
123,38821
124,3876
125,39080
126,10741
127,5571
128,41120
129,36959
130,12501
131,3223
132,36527
133,26447
134,30320
134,11985
135,30213
136,42398
136,10451
137,2328
137,10357
139,25278
140,18008
141,27802
142,36583
143,3639
144,23620
145,21958
146,34756
148,6154
149,15940
150,36844
151,11801
152,20466
154,5544
155,5207
156,16016
158,2976
159,1769
160,26770
161,41610
161,28658
162,23105
163,20906
164,34478
165,39311
165,9185
165,7120
166,38675
167,38646
167,14472
168,28481
168,37387
169,9653
169,5510
169,9951
170,37271
170,3348
171,26048
172,28844
172,36165
173,34397
174,26798
175,11915
176,10814
177,42378
177,18852
178,38479
179,4458
180,25157
180,22078
181,6295
182,2217
182,8495
183,28609
184,31165
185,2500
186,12159
187,9227
188,36947
189,10850
190,459
190,42502
191,16862
192,12311
193,21805
194,39137
195,1949
196,18756
196,21181
196,25731
197,33750
198,8397
198,13559
199,21988
200,3522
200,4162
201,34183
202,17454
202,33631
202,13221
203,10710
203,34277
205,13863
206,19398
206,37642
207,38879
208,29051
208,7779
209,29796
209,20149
209,1189
210,41304
211,7384
212,10735
212,23015
213,12840
214,40132
215,31711
216,14196
217,4847
218,14258
221,37861
221,7555
221,1428
221,1475
222,36316
223,28075
224,38570
225,32062
226,28021
227,13711
228,25013
228,2896
229,27101
230,32192
231,17122
232,4777
233,6082
234,24967
235,33061
235,27851
236,4138
236,17036
238,39660
239,14719
