"Node1","Node2"
1,41
95,35
96,13
96,40
97,56
97,65
98,63
99,16
99,21
99,41
100,13
100,40
101,35
102,40
103,16
103,29
104,16
104,63
104,67
105,49
105,61
106,42
106,86
107,86
108,35
108,82
109,40
109,61
110,8
110,40
110,63
110,66
110,82
111,11
111,51
112,35
112,42
113,32
113,45
114,45
114,65
115,88
115,89
116,58
117,41
117,42
118,11
118,42
119,74
120,13
120,32
120,35
120,40
120,82
120,86
121,35
122,13
122,35
122,89
123,13
123,19
123,35
123,51
124,28
125,82
125,92
126,13
126,32
126,35
126,40
126,69
126,82
127,91
128,91
129,41
129,42
130,63
131,42
132,56
133,13
133,54
133,91
134,29
134,89
135,54
136,40
137,13
138,29
138,35
138,40
138,45
139,23
139,45
140,23
140,54
140,79
141,89
142,13
142,40
142,42
143,13
144,13
144,54
144,56
145,13
145,28
145,35
145,40
145,45
145,74
145,86
146,35
147,13
148,13
148,35
148,40
149,13
149,35
150,74
151,13
151,74
152,13
153,40
154,29
155,13
156,74
157,42
157,58
158,67
159,13
160,13
161,13
161,82
161,86
161,91
161,92
162,86
163,23
163,25
163,29
163,39
163,41
163,42
163,55
163,65
163,67
163,84
163,91
164,23
164,41
164,65
164,67
164,91
165,74
166,13
167,13
168,13
169,13
170,13
171,13
172,40
173,13
174,13
175,13
176,63
177,61
178,42
179,16
180,11
180,42
181,11
182,32
183,13
183,88
184,41
185,29
186,3
186,31
186,80
187,39
187,49
188,42
189,63
190,13
191,13
192,91
193,49
194,16
194,42
194,79
195,4
195,10
195,11
195,20
195,23
195,29
195,32
195,41
195,42
195,47
195,55
195,67
195,90
195,91
196,66
197,5
197,6
197,7
197,24
197,25
197,28
197,32
197,33
197,39
197,41
197,42
197,43
197,44
197,47
197,48
197,55
197,56
197,60
197,64
197,70
197,75
197,80
197,83
197,91
197,94
198,21
198,28
198,39
198,45
198,62
198,73
198,80
198,91
199,4
199,16
199,20
199,21
199,25
199,26
199,27
199,37
199,38
199,41
199,42
199,44
199,47
199,48
199,59
199,62
199,64
199,65
199,70
199,72
199,73
199,77
199,85
199,91
199,94
200,28
200,34
200,62
200,88
200,90
201,65
202,11
203,20
204,11
205,66
206,86
207,65
208,62
209,8
210,13
211,11
212,86
213,45
214,9
215,29
216,58
217,61
218,13
219,40
220,35
221,37
222,13
223,71
224,13
225,42
225,55
226,13
227,86
228,11
228,16
229,13
229,92
230,35
231,35
232,65
233,15
233,42
234,42
235,61
236,56
237,13
238,13
239,74
240,9
241,28
242,86
242,91
243,35
243,91
