"network_name","networkDomain"
"blumenau_drug","Biological"
"budapest_connectome","Biological"
"celegans_2019","Biological"
"celegans_interactomes","Biological"
"celegans_metabolic","Biological"
"celegansneural","Biological"
"collins_yeast","Biological"
"ecoli_transcription","Biological"
"foodweb_baywet","Biological"
"foodweb_little_rock","Biological"
"fresh_webs","Biological"
"fullerene_structures","Biological"
"genetic_multiplex","Biological"
"interactome_figeys","Biological"
"interactome_pdz","Biological"
"interactome_stelzl","Biological"
"interactome_vidal","Biological"
"interactome_yeast","Biological"
"kegg_metabolic","Biological"
"macaque_neural","Biological"
"malaria_genes","Biological"
"messal_shale","Biological"
"nematode_mammal","Biological"
"plant_pol_kato","Biological"
"plant_pol_robertson","Biological"
"plant_pol_vazquez","Biological"
"reactome","Biological"
"yeast_transcription","Biological"
