"Node1","Node2"
1,51
1,54
1,55
1,57
1,58
1,59
1,60
1,62
1,64
1,65
1,66
1,67
1,70
1,71
1,72
1,73
1,74
1,75
1,77
1,80
1,81
1,82
2,51
2,53
2,58
2,60
2,71
2,72
2,73
2,75
2,77
2,79
2,80
2,81
3,51
3,52
3,56
3,61
3,68
3,72
3,83
4,51
5,57
5,64
5,71
5,72
5,77
5,81
6,53
6,54
6,55
6,57
6,60
6,62
6,64
6,70
6,72
6,75
6,77
6,80
6,81
6,82
7,54
7,62
7,64
7,71
7,72
7,81
8,57
8,72
9,51
9,53
9,54
9,60
9,64
9,66
9,70
9,71
9,72
9,73
9,77
9,81
10,75
11,50
12,51
12,53
12,54
12,55
12,57
12,60
12,62
12,64
12,66
12,67
12,70
12,71
12,72
12,73
12,75
12,77
12,80
12,81
12,82
13,51
13,54
13,55
13,58
13,60
13,64
13,66
13,67
13,71
13,72
13,73
13,74
13,75
13,77
13,81
13,82
14,51
14,53
14,57
14,71
14,72
15,57
16,60
16,62
16,72
16,79
17,51
17,53
17,54
17,57
17,60
17,62
17,67
17,71
17,72
17,73
17,77
17,80
17,81
18,51
18,53
18,54
18,64
18,70
18,75
19,80
20,54
20,57
20,62
20,72
20,75
21,57
21,60
21,67
21,71
21,72
21,73
21,77
21,81
22,53
22,81
23,51
23,53
23,70
24,51
24,53
24,54
24,57
24,60
24,62
24,64
24,70
24,71
24,72
24,77
24,81
24,82
25,72
26,51
26,53
26,54
26,57
26,58
26,62
26,67
26,70
26,71
26,72
26,81
27,51
27,53
27,54
27,55
27,57
27,64
27,67
27,71
27,72
27,73
27,80
28,51
28,54
28,55
28,57
28,62
28,70
28,71
28,73
28,75
28,77
28,80
28,81
29,54
29,57
29,60
29,62
29,64
29,66
29,72
29,73
30,51
30,53
30,62
30,67
30,70
30,81
31,72
32,54
32,62
32,81
33,70
34,64
34,67
34,70
34,71
35,51
35,54
35,57
35,60
35,64
35,67
35,71
35,72
35,77
35,81
36,54
36,60
36,72
36,77
36,81
37,58
37,77
38,54
38,77
39,51
39,53
39,54
39,57
39,60
39,62
39,65
39,66
39,67
39,70
39,71
39,72
39,73
39,77
40,51
40,79
41,62
41,77
42,54
42,57
42,66
42,71
42,72
42,77
43,53
43,67
43,81
44,57
45,64
45,72
45,80
46,50
46,51
46,54
46,57
46,58
46,60
46,62
46,67
46,70
46,71
46,72
46,77
46,81
47,51
47,53
47,57
47,60
47,62
47,71
47,72
47,74
47,75
47,81
48,58
48,67
48,74
49,51
49,57
49,72
49,73
49,74
52,83
56,52
62,68
62,71
62,78
62,83
66,83
71,52
71,56
72,78
73,78
73,83
77,83
78,52
78,83
81,83
