"Node1","Node2"
1,59
1,60
1,62
1,66
1,67
1,69
1,70
1,71
1,72
1,73
1,75
1,76
1,78
1,82
1,83
1,84
1,85
1,86
1,89
1,90
1,91
2,59
2,60
2,73
2,78
2,84
2,89
3,59
3,92
4,59
4,60
4,62
4,73
4,75
4,76
4,78
4,82
4,83
4,85
4,86
4,89
5,59
5,60
5,62
5,73
5,75
5,76
5,78
5,82
5,83
5,84
5,85
5,86
5,89
6,73
6,86
7,83
8,59
8,60
8,62
8,75
8,76
8,82
8,86
8,89
10,59
10,60
10,62
10,73
10,75
10,76
10,78
10,82
10,83
10,84
10,85
10,86
10,89
11,59
11,60
11,62
11,73
11,75
11,76
11,78
11,82
11,83
11,84
11,85
11,86
11,89
12,59
12,60
12,62
12,78
12,82
12,83
12,86
13,82
13,84
13,86
14,59
14,60
14,62
14,73
14,82
14,83
14,85
14,86
14,89
15,59
15,60
15,62
15,73
15,75
15,76
15,78
15,82
15,83
15,84
15,85
15,89
16,83
16,85
17,59
17,60
17,62
17,75
17,82
17,83
17,85
18,82
19,59
19,60
19,62
19,73
19,75
19,78
19,82
19,83
19,85
19,86
19,89
20,60
20,73
20,75
20,86
20,89
21,59
21,60
21,62
21,73
21,78
21,82
21,84
22,59
22,60
22,73
22,83
22,89
23,59
23,62
23,82
23,83
23,89
24,59
24,60
24,62
24,83
24,84
25,59
25,62
25,75
25,76
25,78
25,82
25,83
25,84
25,85
25,86
25,89
26,59
26,60
26,62
26,73
26,78
26,82
26,83
26,85
26,86
27,62
27,83
28,60
28,62
28,78
28,85
29,60
29,73
29,75
29,83
29,86
30,59
30,60
30,62
30,73
30,75
30,76
30,78
30,82
30,83
30,84
30,85
30,86
30,89
31,82
31,86
32,59
32,60
32,78
32,82
32,83
32,84
32,85
32,89
33,59
33,60
33,62
33,73
33,78
33,82
33,83
33,84
33,85
33,86
33,89
34,59
34,60
34,62
34,73
34,75
34,78
34,82
34,83
34,84
34,85
34,86
34,89
35,60
36,59
36,60
36,62
36,83
36,86
36,89
37,60
37,75
37,82
37,83
37,85
37,86
38,59
38,60
38,62
38,73
38,75
38,76
38,78
38,82
38,83
38,84
38,85
38,86
38,89
39,59
39,60
39,62
39,73
39,75
39,78
39,82
39,83
39,85
39,86
39,89
40,82
40,83
41,60
41,73
41,83
42,86
43,60
43,62
43,76
43,83
44,60
44,62
44,82
44,83
44,89
45,82
45,84
45,86
46,60
46,62
46,73
46,78
46,83
46,86
46,89
47,59
47,60
47,62
47,73
47,75
47,82
47,83
47,84
47,85
47,86
48,60
48,73
48,82
48,83
48,89
49,59
49,62
49,73
49,82
49,83
49,84
49,85
49,86
50,59
50,60
50,73
50,82
50,83
50,84
50,86
51,59
51,60
51,62
51,73
51,75
51,78
51,82
51,83
51,84
51,85
51,86
52,85
53,60
53,73
53,82
53,83
53,85
53,86
54,59
54,62
54,73
54,82
54,85
54,86
55,62
55,82
55,86
56,59
56,60
56,62
56,73
56,75
56,78
56,82
56,83
56,84
56,85
56,86
56,89
57,59
57,60
57,62
57,73
57,78
57,82
57,83
57,84
57,85
57,86
57,89
58,59
58,60
58,62
58,73
58,75
58,78
58,82
58,83
58,85
58,86
58,89
59,92
60,92
61,92
62,92
63,59
63,92
69,59
69,61
72,59
72,60
73,92
74,92
75,61
75,92
76,92
77,92
79,92
84,92
85,92
86,92
87,92
88,92
89,92
94,1
