"Name","Domain","Nodes","Edges","Iterations_1","Iteration_2","Iteration_3","Iteration_4","Iteration_5","Iteration_6","Iteration_7","Iteration_8","Iteration_9","Iteration_10","Mean"
"7th_graders","Social,Offline",29,740,54,60,85,44,42,40,70,30,35,50,51
"add_health_comm1","Social,Offline",69,305,166,111,126,124,114,172,153,122,166,150,140.4
"add_health_comm10","Social,Offline",678,3441,1121,1305,1264,1183,1292,1404,1073,1267,1168,1372,1244.9
"add_health_comm11","Social,Offline",411,1975,666,870,794,721,856,815,724,673,945,762,782.6
"add_health_comm12","Social,Offline",581,3585,955,1219,1094,1063,1184,931,1033,1197,1137,1045,1085.8
"add_health_comm13","Social,Offline",654,2936,1176,1185,1514,1106,1232,1208,1215,1244,1219,1210,1230.9
"add_health_comm14","Social,Offline",562,3344,1170,1076,1144,987,948,974,1049,1070,937,976,1033.1
"add_health_comm15","Social,Offline",1062,5370,1889,2004,2110,2126,1827,2097,2266,1846,1917,1920,2000.2
"add_health_comm16","Social,Offline",778,4125,1438,1341,1574,1404,1412,1371,1519,1531,1497,1411,1449.8
"add_health_comm17","Social,Offline",1218,6488,2133,2237,1973,2267,2163,2094,1978,2051,2274,2251,2142.1
"add_health_comm18","Social,Offline",284,1511,572,525,568,605,531,526,536,470,519,431,528.3
"add_health_comm19","Social,Offline",492,2675,911,768,829,797,1005,1049,998,920,876,750,890.3
"add_health_comm2","Social,Offline",105,447,162,255,220,243,237,216,226,186,265,230,224
"add_health_comm20","Social,Offline",910,5229,1730,1556,1794,1831,1824,1680,1583,1582,1593,1638,1681.1
"add_health_comm21","Social,Offline",377,2021,812,732,752,757,772,636,791,757,660,665,733.4
"add_health_comm22","Social,Offline",614,3133,1246,1339,1308,1214,1271,1268,1137,1291,1113,1106,1229.3
"add_health_comm23","Social,Offline",667,3783,1209,1183,1172,1355,1140,1299,1217,1160,1268,1378,1238.1
"add_health_comm24","Social,Offline",853,3739,1508,1808,1849,1573,1678,1675,1619,1836,1676,1792,1701.4
"add_health_comm25","Social,Offline",798,3197,1440,1445,1350,1723,1556,1554,1521,1524,1499,1525,1513.7
"add_health_comm26","Social,Offline",551,2624,1117,1286,951,1135,1136,1001,1179,1136,1000,1318,1125.9
"add_health_comm27","Social,Offline",1169,3303,2740,2464,2315,2824,2289,2874,2770,2855,3024,2807,2696.2
"add_health_comm28","Social,Offline",1138,5721,2178,2050,2083,2053,2074,2124,2048,2249,2066,2084,2100.9
"add_health_comm29","Social,Offline",569,3203,1005,1000,1097,1106,1095,1039,1132,1004,1025,1032,1053.5
"add_health_comm3","Social,Offline",32,127,91,90,62,52,54,50,47,103,59,127,73.5
"add_health_comm30","Social,Offline",718,3442,1170,1543,1416,1271,1351,1379,1152,1335,1412,1161,1319
"add_health_comm31","Social,Offline",751,2028,1871,1517,1829,1958,1695,1807,1800,1936,1769,1918,1810
"add_health_comm32","Social,Offline",855,4192,1591,1659,1594,1594,1621,1543,1513,1504,1644,1507,1577
"add_health_comm33","Social,Offline",1987,5858,4193,4415,4217,4162,3843,3881,4411,4022,4222,4219,4158.5
"add_health_comm34","Social,Offline",1607,6985,3009,3056,2858,2919,2970,3071,2856,2960,2959,3174,2983.2
"add_health_comm35","Social,Offline",851,3735,1521,1536,1602,1521,1774,1750,1632,1678,1708,1543,1626.5
"add_health_comm36","Social,Offline",2154,9880,4391,3898,4048,4377,4025,4157,4132,3860,3991,3948,4082.7
"add_health_comm37","Social,Offline",373,879,800,925,959,780,812,851,681,868,847,745,826.8
