"Name","NetworkDomain","Nodes","Edges","Iteration_1","Iteration_2","Iteration_3","Iteration_4","Iteration_5","Iteration_6","Iteration_7","Iteration_8","Iteration_9","Iteration_10","Mean"
"add_health_comm13","Social,Offline",652,2351,4503,2497,2722,2928,3159,2363,2830,2125,3440,2935,2950.2
"add_health_comm2","Social,Offline",103,349,382,495,657,1265,234,330,1515,299,406,260,584.3
"add_health_comm22","Social,Offline",612,2450,5145,3711,1870,2142,2038,2936,2078,2932,4220,2602,2967.4
"add_health_comm24","Social,Offline",849,3005,3517,4005,3679,5893,4809,4355,3869,6034,2865,3464,4249
"add_health_comm25","Social,Offline",790,2578,6043,3122,2743,3551,2854,3389,2531,6743,3177,2815,3696.8
"add_health_comm27","Social,Offline",1152,2541,6659,6108,5641,5437,4964,5308,6226,7761,5790,9132,6302.6
"add_health_comm28","Social,Offline",1136,4716,4568,6149,6999,6133,4617,3262,9944,5387,8524,3541,5912.4
"add_health_comm31","Social,Offline",728,1648,3845,7205,6102,6851,5014,5434,4652,6201,6628,6762,5869.4
"add_health_comm32","Social,Offline",853,3441,3061,4769,3627,3635,3335,3384,3440,2749,5075,3867,3694.2
"add_health_comm33","Social,Offline",1974,4840,7351,6561,8041,9575,9169,8594,8844,9419,10975,12335,9086.4
"add_health_comm34","Social,Offline",1605,5749,8636,6359,8005,6689,7314,9449,5249,6943,11501,6442,7658.7
"add_health_comm36","Social,Offline",2152,7987,7772,8561,9129,7536,9523,10459,7138,6792,11526,12375,9081.1
"add_health_comm37","Social,Offline",358,702,1879,1144,1828,2397,4773,1575,1583,2161,1676,3368,2238.4
"add_health_comm39","Social,Offline",987,3917,3360,4983,4949,3662,3665,3534,5341,3892,5461,3568,4241.5
"add_health_comm40","Social,Offline",1996,8525,10140,9170,9900,7704,14554,6447,7341,7953,7486,9730,9042.5
"add_health_comm42","Social,Offline",1405,4932,7316,6116,3697,5105,5427,4848,7838,4401,4316,4299,5336.3
"add_health_comm43","Social,Offline",1638,5244,5699,13009,10489,6223,7035,7442,6981,7280,7159,7741,7905.8
"add_health_comm45","Social,Offline",921,2753,4697,5384,4997,4226,3867,2399,4895,4180,2965,3378,4098.8
"add_health_comm49","Social,Offline",1877,7035,20559,7936,7681,9981,6812,6630,13325,17441,7915,8199,10647.9
"add_health_comm51","Social,Offline",676,1669,2327,4022,4448,2455,2290,3102,2442,4156,3367,2585,3119.4
"add_health_comm52","Social,Offline",1719,5440,6712,6271,11248,6678,7253,15813,8095,6425,9836,7508,8583.9
"add_health_comm53","Social,Offline",579,1511,2504,3035,2770,3461,1873,1584,3607,2819,6896,3240,3178.9
"add_health_comm54","Social,Offline",1035,3040,4793,5839,4760,3952,4559,5445,5027,4995,5636,4140,4914.6
"add_health_comm55","Social,Offline",331,803,2133,2694,1504,1921,1255,1348,1387,1138,1161,2310,1685.1
"add_health_comm56","Social,Offline",444,1394,1172,1795,1581,1401,1565,1470,2388,1688,1776,1523,1635.9
"add_health_comm57","Social,Offline",1180,3487,6964,9071,8715,7406,11395,5649,6645,5112,5526,5544,7202.7
