"Name","Domain","Nodes","Iterations_1"
"celegans_interactomes_IntegratedNetwork","Biological",6176,132021
"douban","Social,Online",154908,651892
"email_eu_all","Social,Online",265214,1138261
"facebook_wall","Social,Online",46952,639034
"fao_trade","Economic",214,1685
"foursquare_friendships_new","Social,Online",114324,809417
"foursquare_friendships_old","Social,Online",114324,867277
"gemsec_hr","Social,Online",54573,256112
"gemsec_hu","Social,Online",47538,215076
"genetic_multiplex_Homo","Biological",18222,126527
"genetic_multiplex_Sacchcere","Biological",6570,34778
"github_2","Social,Online",37700,186890
"google","Social,Online",15763,74215
"gplus_1","Social,Online",4805,22204
"gplus_10","Social,Online",1650,6471
"gplus_2","Social,Online",4938,22073
"gplus_3","Social,Online",1604,7195
"gplus_4","Social,Online",4604,21125
"gplus_5","Social,Online",4842,23336
"gplus_6","Social,Online",3545,19395
"gplus_7","Social,Online",3870,16025
"gplus_8","Social,Online",2761,11440
"gplus_9","Social,Online",2455,9451
"jdk","Technological",6434,32698
"last_fm","Social,Online",188672,995694
"linux","Technological",30837,128428
"pgp_strong","Social,Online",39796,307995
"qa_user_askubuntu_all","Social,Online",159316,1304683
"qa_user_mathoverflow_all","Social,Online",24818,332457
"scotus_majority_2007","Informational",34613,177976
"scotus_majority_2008","Informational",25417,135329
"slashdot_1","Social,Online",81867,625114
"slashdot_2","Social,Online",82140,633975
"slashdot_3","Social,Online",77350,606042
"slashdot_zoo","Social,Online",79116,608796
"slashdot_zoo_2008","Social,Online",77360,645336
