"Name","NetworkDomain","Nodes","Edges","MeanConstraint","GiniConstraint"
"7th_graders","Social,Offline",29,250,0.171697322708437,0.0917307694922679
"add_health_comm1","Social,Offline",69,220,0.330171844930906,0.21932425841179
"add_health_comm10","Social,Offline",678,2795,0.238735474335038,0.343912572856448
"add_health_comm11","Social,Offline",411,1590,0.237793533425899,0.336325278819803
"add_health_comm12","Social,Offline",581,2805,0.195423310240676,0.306695928698571
"add_health_comm13","Social,Offline",654,2351,0.271623420083858,0.356651864916837
"add_health_comm14","Social,Offline",562,2688,0.191630505591455,0.303884655991786
"add_health_comm15","Social,Offline",1062,4391,0.229278230682106,0.363504126751466
"add_health_comm16","Social,Offline",778,3462,0.213802132760108,0.355960948330554
"add_health_comm17","Social,Offline",1218,5337,0.207648190093649,0.352762662002421
"add_health_comm18","Social,Offline",284,1189,0.213549470403858,0.286175878407869
"add_health_comm19","Social,Offline",492,2096,0.220493901561608,0.312499395985679
"add_health_comm2","Social,Offline",105,349,0.331661513757129,0.321813709685639
"add_health_comm20","Social,Offline",910,4075,0.202731079698533,0.321818971437236
"add_health_comm21","Social,Offline",377,1531,0.253470666622406,0.324653900230046
"add_health_comm22","Social,Offline",614,2450,0.263778232701376,0.343228811042038
"add_health_comm23","Social,Offline",667,2897,0.21711137795643,0.323091984947384
"add_health_comm24","Social,Offline",853,3005,0.276343263300932,0.347591812307417
"add_health_comm25","Social,Offline",798,2578,0.296609340075703,0.346839883144236
"add_health_comm26","Social,Offline",551,2066,0.269568038387517,0.326336958545858
"add_health_comm27","Social,Offline",1169,2541,0.418952773814136,0.287986599229344
"add_health_comm28","Social,Offline",1138,4716,0.218123417453809,0.336413953421579
"add_health_comm29","Social,Offline",569,2534,0.219825910595029,0.317301151178049
"add_health_comm3","Social,Offline",32,91,0.404058525544886,0.293994390539045
"add_health_comm30","Social,Offline",718,2740,0.248427465340342,0.340516784960224
"add_health_comm31","Social,Offline",751,1648,0.462067928022315,0.351341535366291
"add_health_comm32","Social,Offline",855,3441,0.229606335510573,0.359347034063151
"add_health_comm33","Social,Offline",1987,4840,0.384377084820002,0.370971259749111
"add_health_comm34","Social,Offline",1607,5749,0.258779019529502,0.387059208446439
"add_health_comm35","Social,Offline",851,3151,0.250193690404287,0.379572340479606
"add_health_comm36","Social,Offline",2154,7987,0.257374375299727,0.363682058273042
"add_health_comm37","Social,Offline",373,702,0.47044222711542,0.322823277238841
"add_health_comm38","Social,Offline",521,1925,0.249403301522813,0.352903344324077
"add_health_comm39","Social,Offline",991,3917,0.230031896968723,0.358568750929539
"add_health_comm4","Social,Offline",281,1136,0.235575773255482,0.333377340522075
"add_health_comm40","Social,Offline",2002,8525,0.213642954908095,0.364760439346818
"add_health_comm41","Social,Offline",2064,8646,0.208868627203546,0.349823685419474
"add_health_comm42","Social,Offline",1407,4932,0.269531437923391,0.407415611862454
"add_health_comm43","Social,Offline",1642,5244,0.289248144209151,0.384161347919346
"add_health_comm44","Social,Offline",1127,5096,0.202894797163223,0.357999665803961
"add_health_comm45","Social,Offline",936,2753,0.357986917234458,0.419693968146738
"add_health_comm46","Social,Offline",1519,5749,0.234867848137892,0.35319628774793
"add_health_comm47","Social,Offline",985,4378,0.196269031903238,0.320590909148788
"add_health_comm48","Social,Offline",1171,4990,0.208866055062391,0.318616549733398
"add_health_comm49","Social,Offline",1884,7035,0.261652656241846,0.36606424225651
"add_health_comm5","Social,Offline",157,730,0.205869470115055,0.276073457911564
"add_health_comm50","Social,Offline",2539,10455,0.212193817317276,0.345548189790536
